,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
401,1992-06-08 21:31:00+00:00,12060.0,5820.0,1.0,51.0,58.0,14.0
402,1992-06-09 16:05:00+00:00,6120.0,5880.0,1.0,52.0,57.0,1.0
403,1992-06-09 17:47:00+00:00,8280.0,6120.0,0.0,37.0,58.0,6.0
404,1992-06-09 20:05:00+00:00,9360.0,8280.0,1.0,49.0,51.0,1.0
405,1992-06-09 22:41:00+00:00,5820.0,9360.0,2.0,60.0,45.0,3.0
406,1992-06-10 00:18:00+00:00,6120.0,5820.0,1.0,24.0,71.0,20.0
407,1992-06-10 15:38:00+00:00,5580.0,6060.0,0.0,33.0,63.0,0.0
408,1992-06-10 17:11:00+00:00,6120.0,5580.0,5.0,34.0,62.0,5.0
409,1992-06-10 18:53:00+00:00,5700.0,6120.0,6.0,48.0,56.0,7.0
410,1992-06-10 20:28:00+00:00,11820.0,5700.0,0.0,51.0,61.0,18.0
411,1992-06-11 13:15:00+00:00,5940.0,6000.0,6.0,61.0,55.0,6.0
412,1992-06-11 14:54:00+00:00,5760.0,5940.0,7.0,79.0,49.0,10.0
413,1992-06-11 16:30:00+00:00,5700.0,5760.0,1.0,71.0,51.0,4.0
414,1992-06-11 18:05:00+00:00,6240.0,5700.0,1.0,71.0,52.0,1.0
415,1992-06-11 19:49:00+00:00,6240.0,6240.0,2.0,79.0,46.0,2.0
416,1992-06-11 21:33:00+00:00,6180.0,6240.0,1.0,79.0,43.0,2.0
417,1992-06-11 23:16:00+00:00,6240.0,6180.0,2.0,82.0,42.0,2.0
418,1992-06-12 01:00:00+00:00,6300.0,6240.0,1.0,82.0,38.0,2.0
419,1992-06-12 02:45:00+00:00,6120.0,6300.0,1.0,85.0,37.0,2.0
420,1992-06-12 04:27:00+00:00,6000.0,6120.0,0.0,57.0,64.0,5.0
421,1992-06-12 12:51:00+00:00,5880.0,5940.0,0.0,48.0,65.0,0.0
422,1992-06-12 14:29:00+00:00,5580.0,5880.0,1.0,41.0,66.0,1.0
423,1992-06-12 16:02:00+00:00,5760.0,5580.0,1.0,42.0,64.0,1.0
424,1992-06-12 17:38:00+00:00,5880.0,5760.0,5.0,49.0,60.0,12.0
425,1992-06-12 19:16:00+00:00,5820.0,5880.0,1.0,54.0,55.0,1.0
426,1992-06-12 20:53:00+00:00,5520.0,5820.0,7.0,52.0,52.0,9.0
427,1992-06-12 22:25:00+00:00,5700.0,5520.0,1.0,79.0,45.0,1.0
428,1992-06-13 00:00:00+00:00,6120.0,5700.0,5.0,79.0,39.0,10.0
429,1992-06-13 01:42:00+00:00,6420.0,6120.0,6.0,51.0,47.0,50.0
430,1992-06-13 13:58:00+00:00,6240.0,6420.0,6.0,39.0,50.0,14.0
431,1992-06-13 15:42:00+00:00,6000.0,6240.0,6.0,37.0,51.0,7.0
432,1992-06-13 17:22:00+00:00,6180.0,6000.0,3.0,40.0,48.0,8.0
433,1992-06-13 19:05:00+00:00,5880.0,6180.0,3.0,43.0,45.0,3.0
434,1992-06-13 20:43:00+00:00,6000.0,5880.0,3.0,57.0,39.0,6.0
435,1992-06-13 22:23:00+00:00,5880.0,6000.0,6.0,65.0,40.0,12.0
436,1992-06-14 00:01:00+00:00,6000.0,5880.0,6.0,67.0,39.0,6.0
437,1992-06-14 01:41:00+00:00,6000.0,6000.0,3.0,64.0,39.0,10.0
438,1992-06-14 03:21:00+00:00,11940.0,6000.0,6.0,58.0,51.0,36.0
439,1992-06-14 13:29:00+00:00,6240.0,5700.0,5.0,63.0,49.0,11.0
